endTimeMillis	responseTime	latency	sentBytes	receivedBytes	isSuccessful	responseCode
1552469103.416	149	147	112	11051	isSuccessful	200
1552469103.494	78	76	280	9394	isSuccessful	200
1552469103.543	153	152	114	11067	isSuccessful	200
1552469103.621	76	74	286	9398	isSuccessful	200
1552469103.676	1388	73	69	6951	isSuccessful	200
1552469103.820	142	139	109	11027	isSuccessful	200
1552469103.820	152	152	111	11043	isSuccessful	200
1552469103.898	77	75	298	9394	isSuccessful	200
1552469103.900	78	76	291	9394	isSuccessful	200
1552469104.208	140	137	110	11035	isSuccessful	200
1552469104.284	75	75	289	9396	isSuccessful	200
1552469104.412	1728	75	69	6951	isSuccessful	200
1552469104.552	139	137	110	11035	isSuccessful	200
1552469104.607	139	137	113	11059	isSuccessful	200
1552469104.686	78	77	289	9394	isSuccessful	200
1552469104.821	268	74	283	9396	isSuccessful	200
1552469105.200	333	137	109	11027	isSuccessful	200
1552469105.340	140	74	290	9398	isSuccessful	200
1552469105.407	140	138	112	11051	isSuccessful	200
1552469105.742	334	75	287	9396	isSuccessful	200
1552469106.271	3185	74	69	6951	isSuccessful	200
1552469106.276	609	477	107	11011	isSuccessful	200
1552469106.300	229	139	107	11011	isSuccessful	200
1552469106.415	143	140	110	11035	isSuccessful	200
1552469106.417	141	75	293	9396	isSuccessful	200
1552469106.490	75	74	294	9396	isSuccessful	200
1552469106.696	229	139	113	11059	isSuccessful	200
1552469106.837	140	74	290	9398	isSuccessful	200
1552469106.975	675	75	275	9396	isSuccessful	200
1552469107.543	275	143	112	11051	isSuccessful	200
1552469107.708	164	74	295	9398	isSuccessful	200
1552469107.906	1038	492	110	11035	isSuccessful	200
1552469108.447	540	75	297	9396	isSuccessful	200
1552469108.866	398	138	114	11067	isSuccessful	200
1552469109.007	141	74	287	9394	isSuccessful	200
1552469109.135	267	137	108	11019	isSuccessful	200
1552469109.275	139	74	299	9398	isSuccessful	200
1552469109.413	142	140	113	11059	isSuccessful	200
1552469109.490	76	74	306	9394	isSuccessful	200
1552469109.813	6522	77	69	6951	isSuccessful	200
1552469109.935	267	137	112	11051	isSuccessful	200
1552469109.988	2318	139	107	11011	isSuccessful	200
1552469110.020	1950	143	106	11003	isSuccessful	200
1552469110.528	505	75	292	9396	isSuccessful	200
1552469110.603	532	141	101	10963	isSuccessful	200
1552469110.691	702	144	282	9398	isSuccessful	200
1552469110.818	883	276	288	9396	isSuccessful	200
1552469110.913	1099	490	113	11059	isSuccessful	200
1552469111.136	669	137	107	11011	isSuccessful	200
1552469111.140	273	141	103	10979	isSuccessful	200
1552469111.167	563	78	278	9398	isSuccessful	200
1552469111.443	530	77	285	9396	isSuccessful	200
1552469112.224	1084	74	273	9398	isSuccessful	200
1552469113.207	6790	74	69	6951	isSuccessful	200
1552469114.086	10592	74	69	6951	isSuccessful	200
1552469114.316	229	140	111	11043	isSuccessful	200
1552469114.457	140	76	293	9394	isSuccessful	200
1552469114.556	7717	74	69	6951	isSuccessful	200
1552469115.022	465	204	111	11043	isSuccessful	200
1552469115.291	269	75	303	9398	isSuccessful	200
1552469115.487	4351	76	291	9394	isSuccessful	200
1552469116.357	3146	485	109	11027	isSuccessful	200
1552469116.419	11595	73	69	6951	isSuccessful	200
1552469116.498	141	139	296	9396	isSuccessful	200
1552469116.539	12640	76	69	6951	isSuccessful	200
1552469116.655	231	142	112	11051	isSuccessful	200
1552469116.797	142	75	285	9394	isSuccessful	200
1552469116.806	268	138	112	11051	isSuccessful	200
1552469117.374	566	79	287	9396	isSuccessful	200
1552469117.569	13666	73	69	6951	isSuccessful	200
1552469117.832	13145	74	69	6951	isSuccessful	200
